geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,associated press,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
Alabama,28,0,350,1333,989,63,140,1606,65,1126,274,106,2459,143,18,847,1686,4,52,411,58,0,30,2908,4,134,2058,182,26,600,48,214,156,37,2545,0,26,389,0,2585,738,229,81,1902,50,840,517,942,701
Alaska,0,0,0,300,800,0,25,1625,158,892,858,132,1679,309,22,532,1829,38,87,514,122,0,71,2788,19,49,1605,230,58,1058,135,181,107,70,2507,0,0,241,0,2159,720,380,0,1800,0,367,383,716,534
Arizona,230,0,410,1470,890,35,128,1744,130,963,336,154,2299,178,33,549,1968,3,48,432,73,0,38,2889,0,71,1937,216,19,757,81,151,231,76,2461,0,51,335,0,2614,537,208,103,2135,17,622,494,1257,627
Arkansas,282,0,100,807,1011,46,152,1488,145,1169,387,183,2208,222,0,689,1789,22,70,430,50,0,39,2905,6,100,1862,271,0,767,51,262,224,97,2366,0,0,295,0,2705,524,281,84,1975,36,620,298,834,748
California,293,0,230,1323,1154,18,96,1778,133,975,409,191,2224,169,7,536,1941,4,63,456,102,0,40,2858,0,36,1990,266,4,704,104,372,212,152,2160,0,45,486,5,2464,284,563,39,2100,14,611,584,1356,449
Colorado,464,0,265,1392,879,21,120,1978,175,706,576,193,2001,203,27,601,1896,10,56,437,120,0,59,2821,0,62,1646,281,31,980,91,286,234,122,2267,0,68,530,0,2402,631,219,79,2042,29,358,510,1564,568
Connecticut,270,0,25,1497,1208,29,149,1890,200,732,447,203,2069,251,30,523,1809,14,41,613,209,0,69,2715,7,77,1713,491,25,694,109,380,217,186,2108,0,48,495,0,2457,571,210,58,2161,0,389,473,1858,280
Delaware,28,0,0,329,543,0,176,1740,56,1028,377,193,2063,367,0,545,1827,0,93,535,131,0,101,2748,20,43,1790,573,0,594,127,451,299,183,1940,0,0,531,0,2469,728,83,0,2189,0,452,384,1614,150
District of Columbia,120,0,50,1349,1181,64,161,1769,152,854,481,306,1866,335,12,415,2089,25,52,419,197,0,144,2625,34,107,1678,343,12,860,192,423,233,187,1965,0,182,1039,0,1779,348,294,133,2176,49,303,671,1739,287
Florida,183,0,469,1047,1301,25,86,1871,77,941,283,87,2431,199,0,550,1972,0,29,449,81,0,37,2882,0,51,2156,232,9,552,49,224,257,78,2392,0,77,394,10,2519,443,161,96,2278,22,424,356,1841,379
Georgia,276,0,373,1298,953,21,101,1551,108,1219,326,110,2261,287,16,560,2058,7,22,353,72,0,35,2893,0,55,2137,197,14,597,42,264,217,65,2412,0,104,378,6,2512,489,210,137,2134,30,580,691,1201,528
Hawaii,250,0,100,400,350,20,70,1679,257,974,374,159,2200,258,9,527,1923,40,77,433,94,0,37,2859,10,115,1849,270,0,766,170,309,298,158,2065,0,105,584,0,2311,484,1000,0,1516,0,468,775,1157,300
Idaho,33,0,50,794,923,0,160,1778,178,884,565,206,1995,234,0,742,1653,12,67,526,94,0,35,2856,15,103,1472,229,39,1157,76,223,285,130,2286,0,18,375,0,2607,819,332,53,1796,0,496,705,843,656
Illinois,370,0,254,1257,1119,28,121,1692,148,1011,339,141,2381,123,16,560,1856,9,40,535,92,0,37,2871,0,50,1961,300,6,683,72,288,246,123,2271,0,98,360,3,2539,425,269,70,2216,20,684,619,1231,466
Indiana,193,0,327,775,1505,21,116,1812,71,980,329,128,2340,184,19,590,1827,16,52,515,68,0,34,2897,1,69,2032,164,7,728,49,202,277,94,2378,0,68,544,0,2388,845,297,112,1716,30,690,696,1156,458
Iowa,460,0,225,647,868,12,105,2095,102,686,410,102,2245,234,9,635,1833,12,42,478,91,0,41,2865,3,121,1872,222,0,785,62,273,296,106,2263,0,48,462,0,2490,1038,163,192,1591,16,494,990,751,665
Kansas,33,0,183,749,1035,83,58,1802,170,887,494,206,2114,186,0,690,1847,12,53,398,63,0,34,2898,5,73,1924,320,15,668,66,247,270,93,2324,0,89,459,0,2452,830,253,168,1716,33,720,581,956,643
Kentucky,350,0,217,642,1091,11,198,1737,92,962,394,140,2245,207,14,664,1788,13,57,478,69,0,24,2904,3,150,1983,167,16,684,69,247,228,89,2367,0,75,475,0,2450,914,234,78,1741,33,384,840,1121,355
Louisiana,365,0,193,1399,843,52,211,1397,201,1139,350,118,2345,178,9,697,1698,23,67,515,65,0,32,2899,4,111,2098,257,6,528,48,213,146,87,2506,0,104,431,0,2465,792,197,154,1833,24,654,598,961,687
Maine,409,0,33,923,735,0,172,1807,254,767,703,273,1518,491,15,616,1802,7,79,496,153,0,73,2753,21,63,1709,273,31,924,112,264,309,139,2176,0,0,502,0,2398,953,151,111,1785,0,416,66,1485,233
Maryland,103,0,194,1355,1348,18,129,1835,141,877,460,214,2031,282,13,498,2047,7,47,401,147,0,91,2743,19,69,1904,366,15,646,83,410,271,130,2106,0,122,908,0,1970,364,301,129,2199,7,544,627,1448,381
Massachusetts,370,0,479,1072,1079,55,138,1783,206,818,635,217,1863,269,16,597,1929,14,54,406,203,0,70,2725,2,53,1760,395,18,774,123,496,188,194,1999,0,68,485,0,2447,266,73,109,2515,37,291,588,1812,309
Michigan,360,0,227,1292,1121,12,109,1670,113,1096,333,116,2418,124,9,594,1913,5,39,449,91,0,35,2874,0,70,1916,233,19,762,55,207,318,91,2329,0,40,367,13,2580,653,156,125,2045,21,633,669,1137,561
Minnesota,411,0,87,1235,867,57,144,1829,147,823,455,188,2136,206,15,601,1956,8,44,391,128,0,61,2809,2,82,1938,286,19,675,176,240,228,103,2253,0,71,485,0,2444,568,189,89,2141,13,427,576,1242,755
Mississippi,250,0,83,584,883,47,89,1325,105,1434,228,115,2414,237,6,815,1683,17,79,406,61,0,28,2903,8,131,2160,208,0,501,55,207,216,79,2443,0,52,360,0,2488,963,177,132,1595,33,512,481,1081,526
Missouri,307,0,138,1246,1009,32,121,1829,99,919,370,162,2281,174,13,579,1894,18,43,466,84,0,36,2879,1,56,1783,291,23,847,47,309,214,67,2363,0,70,321,0,2609,844,207,134,1784,31,683,1009,998,310
Montana,0,0,0,400,400,0,45,2011,157,787,593,207,1929,242,29,661,1589,16,48,686,155,0,63,2770,12,73,1428,226,52,1221,39,199,237,135,2390,0,59,611,0,2230,1024,137,98,1616,25,358,475,997,870
Nebraska,0,0,340,950,910,36,163,1703,98,1000,396,179,2226,183,16,637,1892,8,44,419,76,0,43,2872,9,115,1714,252,9,910,56,241,263,90,2350,0,0,273,0,2627,1089,178,69,1664,0,342,620,1467,471
Nevada,517,0,400,867,616,0,82,1842,125,951,457,192,2156,187,8,567,1955,8,74,396,61,0,36,2898,5,53,2166,269,10,502,92,202,211,95,2400,0,62,311,0,2627,467,712,75,1746,0,509,775,848,868
New Hampshire,134,0,0,1083,383,50,80,1619,398,853,501,270,1869,337,23,521,1985,26,82,386,119,0,78,2786,17,59,1640,401,11,889,109,315,246,183,2147,0,33,404,0,2463,751,96,0,2153,0,445,455,1548,352
New Jersey,95,0,371,1320,1214,11,95,1858,131,905,322,117,2061,479,21,573,1972,7,34,414,132,0,55,2813,0,62,1903,538,11,486,81,404,215,152,2148,0,59,481,0,2460,437,308,108,2115,32,311,361,1952,376
New Mexico,707,0,100,780,813,34,234,1789,154,789,545,246,1993,206,10,569,1854,41,80,456,114,0,69,2805,12,87,1784,222,37,870,94,313,290,133,2170,0,0,700,0,2300,608,225,213,1906,48,119,751,1462,568
New York,289,0,260,1430,1021,30,76,1761,298,835,541,183,2002,265,9,574,1861,9,61,495,188,0,47,2765,0,41,1794,666,2,497,166,374,205,236,2019,0,50,490,2,2458,365,161,31,2429,14,219,279,2367,135
North Carolina,276,0,243,1083,1398,13,133,1758,100,996,271,84,2493,146,6,561,2010,2,26,401,76,0,41,2883,0,55,2027,234,14,670,38,390,222,62,2288,0,25,436,0,2539,674,173,151,1974,28,895,460,1288,357
North Dakota,0,0,0,0,100,0,134,1845,104,717,433,94,2227,246,0,672,1707,41,40,540,121,0,33,2835,11,117,1975,465,0,443,75,235,288,82,2320,0,0,340,0,2060,1050,150,0,1400,0,50,301,699,350
Ohio,322,0,377,1051,1250,21,116,1845,94,924,411,109,2337,125,18,686,1821,4,38,451,72,0,26,2902,0,73,1911,224,9,783,45,230,314,65,2346,0,21,292,0,2687,812,162,95,1907,24,654,564,1201,581
Oklahoma,222,0,550,773,755,0,60,1554,135,1251,376,209,2218,192,5,730,1729,7,72,462,69,0,23,2906,2,74,1921,335,17,653,67,248,173,72,2440,0,48,484,0,2468,979,197,120,1704,0,537,796,863,704
Oregon,751,0,65,1446,638,27,236,1705,239,793,546,285,1885,262,22,517,1926,11,75,471,168,0,73,2753,6,65,1736,198,26,975,80,293,195,107,2325,0,62,529,0,2409,633,337,108,1872,50,396,852,1298,454
Pennsylvania,364,0,317,1429,890,15,116,1929,122,818,411,117,2247,216,9,626,1881,5,34,454,134,0,53,2813,0,66,1911,315,9,699,51,352,224,104,2269,0,83,483,8,2426,631,134,95,2101,39,480,460,1541,519
Rhode Island,200,0,250,600,750,31,138,1942,225,664,634,246,1745,357,18,501,1900,24,84,491,186,0,74,2726,14,107,1582,403,0,908,152,382,294,265,1907,0,200,587,0,2113,529,138,0,2333,0,487,406,1645,162
South Carolina,453,0,238,1159,650,43,96,1569,130,1162,288,95,2352,254,11,603,1852,27,49,469,60,0,31,2907,2,61,2088,234,15,602,35,377,196,70,2322,0,0,407,0,2593,588,337,65,1985,25,613,695,1336,356
