geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,ap,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
Alabama,107,0,200,903,1390,54,104,1406,148,1288,223,127,2477,149,24,836,1690,7,51,416,68,0,29,2903,0,1564,1092,84,17,243,49,184,179,50,2538,0,97,417,0,2486,593,251,92,2009,55,794,676,863,667
Alaska,0,0,0,549,351,0,20,1984,290,706,704,201,1844,251,0,513,1932,10,62,483,125,0,95,2764,16,635,1301,181,18,865,166,255,227,95,2257,0,0,412,0,2088,531,567,0,1602,0,200,150,599,451
Arizona,258,0,255,1443,1044,18,155,1690,182,955,307,123,2390,157,23,552,1936,12,44,456,73,0,38,2889,0,836,1437,176,15,536,62,163,223,79,2473,0,73,366,0,2561,542,182,65,2165,46,463,587,1302,648
Arkansas,258,0,301,332,1109,0,194,1417,214,1175,381,161,2236,222,0,678,1823,23,66,410,58,0,34,2899,9,1515,946,215,0,324,47,258,219,94,2382,0,0,232,0,2768,624,378,51,1947,0,488,403,755,454
California,315,0,224,1269,1192,15,112,1796,137,940,402,183,2246,161,8,516,1959,1,57,467,105,0,35,2860,0,990,1351,183,0,476,102,368,223,145,2162,0,50,460,6,2484,270,553,36,2128,13,614,566,1401,419
Colorado,550,0,199,1469,782,29,143,2038,178,612,547,220,2008,201,24,611,1897,12,49,431,121,0,51,2828,0,901,1201,176,20,702,77,286,235,113,2289,0,87,535,0,2378,519,227,97,2092,65,374,531,1526,569
Connecticut,230,0,301,1468,1001,28,139,1896,192,745,449,184,2096,238,33,506,1773,21,41,659,201,0,61,2735,3,993,1235,304,2,466,115,408,196,173,2108,0,60,525,0,2415,573,162,71,2177,17,244,461,1989,306
Delaware,50,0,100,200,750,0,216,1702,44,1038,434,120,2145,301,0,538,1881,6,80,495,124,0,86,2765,25,905,1325,336,0,434,74,413,404,213,1896,0,0,643,0,2257,448,100,0,2352,0,158,108,1916,318
District of Columbia,95,0,217,1401,1087,51,112,1797,212,828,500,279,1906,304,11,414,2106,28,53,399,195,0,135,2635,35,672,1329,289,5,705,156,446,241,186,1971,0,179,1007,0,1814,385,269,134,2205,7,354,684,1660,302
Florida,311,0,390,1128,1171,22,78,1891,107,902,263,77,2462,197,1,554,1976,0,31,439,81,0,42,2877,0,1221,1321,141,2,315,53,217,252,74,2404,0,74,398,0,2528,403,168,93,2315,21,346,455,1778,421
Georgia,179,0,424,1239,1158,4,106,1535,113,1242,309,110,2302,261,18,583,2029,4,29,355,67,0,38,2895,0,1257,1264,111,7,361,40,263,210,57,2430,0,102,378,5,2515,537,179,171,2082,31,661,680,1127,532
Hawaii,0,0,50,850,800,60,103,1822,137,878,413,192,2172,223,0,605,1875,28,117,375,89,0,33,2864,14,896,1221,317,0,566,216,241,271,158,2114,0,33,423,0,2444,352,1160,0,1488,0,549,424,1435,292
